title,popularity,vote_average,vote_count,release_date,release_year,month_name,day_name,revenue,budget,return
Goodbye to Language,2.662659,6.6,56.0,2014-08-15,2014,Agosto,Viernes,0.0,0.0,0.0
The Perfect World of Kai,2.880395,7.3,26.0,2007-07-21,2007,Julio,Sã¡bado,0.0,0.0,0.0
Planet of Dinosaurs,0.858026,4.4,8.0,1977-11-18,1977,Noviembre,Viernes,0.0,0.0,0.0
The Berlin File,7.453745,6.5,56.0,2013-01-30,2013,Enero,Miã©rcoles,48965210.0,9000000.0,5.440578888888889
The Attorney,6.549272,7.0,36.0,2013-12-18,2013,Diciembre,Miã©rcoles,0.0,0.0,0.0
The Hatchet Man,0.308959,4.2,3.0,1932-02-06,1932,Febrero,Sã¡bado,0.0,0.0,0.0
Die zwölf Geschworenen,0.074898,9.0,1.0,1963-10-25,1963,Octubre,Viernes,0.0,0.0,0.0
The Final Girl,0.37654,6.2,7.0,2014-05-31,2014,Mayo,Sã¡bado,0.0,0.0,0.0
Dot and the Whale,8e-06,0.0,0.0,1986-11-10,1986,Noviembre,Lunes,0.0,0.0,0.0
The Blood of Fu Manchu,0.463793,4.2,3.0,1968-08-23,1968,Agosto,Viernes,0.0,0.0,0.0
All Things Fall Apart,1.364335,5.4,28.0,2011-03-05,2011,Marzo,Sã¡bado,0.0,0.0,0.0
Altitude,4.715525,4.9,85.0,2010-10-10,2010,Octubre,Domingo,0.0,0.0,0.0
Carry On Cabby,4.639023,7.1,21.0,1963-06-01,1963,Junio,Sã¡bado,0.0,0.0,0.0
Carry On Behind,3.463556,5.6,19.0,1975-12-01,1975,Diciembre,Lunes,0.0,0.0,0.0
Carry On Cruising,4.866607,5.7,19.0,1962-04-01,1962,Abril,Domingo,0.0,0.0,0.0
Che!,0.364037,3.8,2.0,1969-06-27,1969,Junio,Viernes,0.0,0.0,0.0
China Girl,0.180898,6.6,8.0,1987-09-25,1987,Septiembre,Viernes,1262091.0,0.0,0.0
Cops and Robbers,0.018297,5.3,5.0,1973-08-17,1973,Agosto,Viernes,0.0,0.0,0.0
Never a Dull Moment,1.942718,6.3,2.0,1968-06-26,1968,Junio,Miã©rcoles,0.0,0.0,0.0
Cyrus: Mind of a Serial Killer,0.771924,4.4,17.0,2010-10-01,2010,Octubre,Viernes,0.0,0.0,0.0
Memories of My Melancholy Whores,1.467361,6.6,10.0,2011-10-13,2011,Octubre,Jueves,0.0,0.0,0.0
Get a Horse!,5.418712,7.6,76.0,2013-11-27,2013,Noviembre,Miã©rcoles,0.0,0.0,0.0
Happy New Year,4.631534,5.9,70.0,2014-10-23,2014,Octubre,Jueves,0.0,25000000.0,0.0
Bill Burr: Let It Go,1.296848,8.0,21.0,2010-09-18,2010,Septiembre,Sã¡bado,0.0,0.0,0.0
Bill Burr: Why Do I Do This?,1.080121,7.9,14.0,2008-09-23,2008,Septiembre,Martes,0.0,0.0,0.0
Pride of the Bowery,0.11681,6.5,2.0,1940-12-15,1940,Diciembre,Domingo,0.0,0.0,0.0
His Way,0.662728,6.0,2.0,2011-03-04,2011,Marzo,Viernes,0.0,0.0,0.0
Into the Sun,1.172193,4.2,6.0,1992-01-01,1992,Enero,Miã©rcoles,0.0,0.0,0.0
Jack the Giant Killer,1.565726,3.2,27.0,2013-03-12,2013,Marzo,Martes,0.0,50000.0,0.0
Lost Boundaries,0.108984,4.8,2.0,1949-07-02,1949,Julio,Sã¡bado,0.0,0.0,0.0
Elvis and Me,0.908671,3.5,2.0,1988-02-07,1988,Febrero,Domingo,0.0,8000000.0,0.0
Child of Rage,0.299491,4.8,8.0,1992-09-24,1992,Septiembre,Jueves,0.0,0.0,0.0
Christmas Every Day,1.548156,5.8,7.0,1996-11-30,1996,Noviembre,Sã¡bado,0.0,0.0,0.0
Picture This,13.415919,5.4,109.0,2008-07-13,2008,Julio,Domingo,0.0,0.0,0.0
Going Straight,0.315423,6.5,2.0,1916-06-03,1916,Junio,Sã¡bado,0.0,0.0,0.0
Scorned,3.821994,4.9,7.0,1994-07-13,1994,Julio,Miã©rcoles,0.0,0.0,0.0
Mardi Gras: Spring Break,5.886775,4.5,34.0,2011-09-23,2011,Septiembre,Viernes,0.0,0.0,0.0
The Face of Marble,0.162634,5.5,2.0,1946-01-19,1946,Enero,Sã¡bado,0.0,0.0,0.0
The Horsemen,0.000844,6.0,5.0,1971-08-16,1971,Agosto,Lunes,0.0,0.0,0.0
The Man Who Shook the Hand of Vicente Fernandez,0.859109,6.2,3.0,2012-04-27,2012,Abril,Viernes,0.0,0.0,0.0
The Squeeze,1.478446,5.8,6.0,1987-07-10,1987,Julio,Viernes,2228951.0,0.0,0.0
The Squeeze,0.404348,5.5,2.0,1978-10-25,1978,Octubre,Miã©rcoles,0.0,0.0,0.0
Journey to the End of the Night,1.352039,6.8,9.0,2006-04-21,2006,Abril,Viernes,0.0,0.0,0.0
The Bride,5.503779,5.4,21.0,1985-08-16,1985,Agosto,Viernes,3558669.0,0.0,0.0
Wishmaster 4: The Prophecy Fulfilled,2.637066,4.1,34.0,2002-06-10,2002,Junio,Lunes,0.0,0.0,0.0
Will,1.222804,6.8,19.0,2011-11-04,2011,Noviembre,Viernes,0.0,0.0,0.0
Lizzie Borden Took An Ax,7.185427,5.6,55.0,2014-01-25,2014,Enero,Sã¡bado,0.0,0.0,0.0
Tim,7.165079,6.3,17.0,1979-07-13,1979,Julio,Viernes,809000.0,600000.0,1.3483333333333334
Switching Goals,3.152153,5.0,47.0,1999-12-12,1999,Diciembre,Domingo,0.0,0.0,0.0
Wrong Side of Town,1.751625,5.7,14.0,2010-02-23,2010,Febrero,Martes,0.0,1500000.0,0.0
Snowboard Academy,0.149382,3.7,3.0,1997-07-16,1997,Julio,Miã©rcoles,0.0,0.0,0.0
The End,2.367002,4.6,43.0,2012-11-23,2012,Noviembre,Viernes,0.0,0.0,0.0
The White Buffalo,2.930324,5.3,25.0,1977-05-01,1977,Mayo,Domingo,0.0,0.0,0.0
Shark Attack,0.661772,3.7,9.0,1999-11-09,1999,Noviembre,Martes,0.0,0.0,0.0
Killer Movie,1.773237,6.1,17.0,2008-01-01,2008,Enero,Martes,0.0,2000000.0,0.0
Sex and the Single Girl,1.045178,5.9,17.0,1964-12-25,1964,Diciembre,Viernes,0.0,0.0,0.0
The Wizard of Gore,6.731577,5.7,14.0,2007-06-22,2007,Junio,Viernes,0.0,0.0,0.0
Python,1.764837,3.7,24.0,2000-08-09,2000,Agosto,Miã©rcoles,0.0,0.0,0.0
No Thanks,1.50671,5.8,2.0,2014-01-10,2014,Enero,Viernes,0.0,1600000.0,0.0
Grave Halloween,8.872865,4.4,28.0,2013-10-19,2013,Octubre,Sã¡bado,0.0,0.0,0.0
At the Devil's Door,4.964202,4.7,100.0,2014-03-09,2014,Marzo,Domingo,0.0,0.0,0.0
Reaching for the Moon,3.318055,6.3,37.0,2013-02-09,2013,Febrero,Sã¡bado,0.0,0.0,0.0
Beneath the Harvest Sky,7.558162,6.4,7.0,2013-09-08,2013,Septiembre,Domingo,0.0,0.0,0.0
Hotel Very Welcome,0.501029,6.0,4.0,2007-02-13,2007,Febrero,Martes,0.0,0.0,0.0
Off Beat,1.149831,6.5,16.0,2004-09-11,2004,Septiembre,Sã¡bado,0.0,0.0,0.0
"Love, Money, Love",0.173764,2.5,2.0,2000-08-08,2000,Agosto,Martes,0.0,0.0,0.0
Garbage Prince,0.0105,0.0,0.0,2011-07-29,2011,Julio,Viernes,0.0,0.0,0.0
Ator the Iron Warrior,1.691841,3.0,4.0,1987-01-09,1987,Enero,Viernes,0.0,0.0,0.0
The New Godfathers,0.1907,0.0,0.0,1979-08-24,1979,Agosto,Viernes,0.0,0.0,0.0
Battle of the Stars,0.357165,0.0,0.0,1978-02-17,1978,Febrero,Viernes,0.0,0.0,0.0
War of the Planets,0.406617,3.0,3.0,1977-09-23,1977,Septiembre,Viernes,0.0,0.0,0.0
The Weight of Elephants,0.189664,7.3,3.0,2013-02-14,2013,Febrero,Jueves,0.0,0.0,0.0
White Fang and the Hunter,0.06978,5.0,2.0,1975-12-31,1975,Diciembre,Miã©rcoles,0.0,0.0,0.0
Lisztomania,1.144401,5.2,6.0,1975-10-10,1975,Octubre,Viernes,0.0,0.0,0.0
Super Stooges vs the Wonder Women,0.291053,0.0,0.0,1974-04-11,1974,Abril,Jueves,0.0,0.0,0.0
Battle of the Amazons,0.159935,5.0,3.0,1973-08-11,1973,Agosto,Sã¡bado,0.0,0.0,0.0
Il tuo dolce corpo da uccidere,0.000844,7.5,2.0,1970-06-27,1970,Junio,Sã¡bado,0.0,0.0,0.0
The Magnificent Gladiator,0.00124,0.0,0.0,1964-12-30,1964,Diciembre,Miã©rcoles,0.0,0.0,0.0
Rattlers,0.000578,5.4,5.0,1976-04-23,1976,Abril,Viernes,0.0,0.0,0.0
Blablablá,0.006336,0.0,0.0,1968-01-02,1968,Enero,Martes,0.0,0.0,0.0
The Uninvited Guest,2.753646,6.6,29.0,2004-10-21,2004,Octubre,Jueves,0.0,0.0,0.0
Paradise,1.117197,5.3,10.0,2013-11-30,2013,Noviembre,Sã¡bado,0.0,0.0,0.0
The (Dead Mothers) Club,0.363873,6.0,1.0,2014-05-12,2014,Mayo,Lunes,0.0,0.0,0.0
Confessor Caressor,0.000592,0.0,0.0,1989-01-01,1989,Enero,Domingo,0.0,0.0,0.0
The Studio Murder Mystery,0.001312,0.0,0.0,1932-02-17,1932,Febrero,Miã©rcoles,0.0,0.0,0.0
Midnight Mary,0.228547,5.8,4.0,1933-06-30,1933,Junio,Viernes,0.0,0.0,0.0
Knockout,1.654237,4.7,17.0,2011-03-05,2011,Marzo,Sã¡bado,0.0,9000000.0,0.0
Goofy Movies Number One,0.14163,5.5,2.0,1933-12-23,1933,Diciembre,Sã¡bado,0.0,0.0,0.0
Bosko's Parlor Pranks,0.001347,0.0,0.0,1934-11-24,1934,Noviembre,Sã¡bado,0.0,0.0,0.0
Tapia,0.07896,8.0,1.0,2013-06-15,2013,Junio,Sã¡bado,0.0,0.0,0.0
Trapped in the Closet: Chapters 23-33,0.433321,6.5,4.0,2012-11-23,2012,Noviembre,Viernes,0.0,750000.0,0.0
Three Brave Men,0.370534,6.5,1.0,1956-12-01,1956,Diciembre,Sã¡bado,0.0,0.0,0.0
The Great Gatsby,0.001224,0.0,0.0,1926-11-21,1926,Noviembre,Domingo,0.0,0.0,0.0
Thieves Fall Out,0.339049,0.0,0.0,1941-05-03,1941,Mayo,Sã¡bado,0.0,0.0,0.0
Merlusse,0.358163,7.3,2.0,1938-03-16,1938,Marzo,Miã©rcoles,0.0,0.0,0.0
Open Heart,0.177433,5.0,1.0,2013-01-15,2013,Enero,Martes,0.0,0.0,0.0
The Gift of Love,0.05385,0.0,0.0,1978-12-08,1978,Diciembre,Viernes,0.0,0.0,0.0
The Loyal 47 Ronin,0.668944,7.0,1.0,1958-03-31,1958,Marzo,Lunes,0.0,0.0,0.0
This Side of the Law,0.403762,3.2,3.0,1950-06-17,1950,Junio,Sã¡bado,0.0,0.0,0.0
The Spiritual Boxer,0.45593,7.4,4.0,1975-11-28,1975,Noviembre,Viernes,0.0,0.0,0.0
Women in the Wind,0.624762,0.0,0.0,1939-04-15,1939,Abril,Sã¡bado,0.0,0.0,0.0
The Lone Ranger,0.001707,0.0,0.0,1938-02-13,1938,Febrero,Domingo,0.0,0.0,0.0
Katt Williams: Priceless: Afterlife,0.476007,10.0,2.0,2014-08-16,2014,Agosto,Sã¡bado,0.0,0.0,0.0
Take a Giant Step,0.447164,6.5,2.0,1959-12-01,1959,Diciembre,Martes,0.0,0.0,0.0
Pets,0.904194,6.1,5.0,1974-02-01,1974,Febrero,Viernes,0.0,0.0,0.0
That Girl From Paris,0.125647,0.0,0.0,1936-12-31,1936,Diciembre,Jueves,0.0,0.0,0.0
Swedenhielms,0.021164,0.0,0.0,1935-04-08,1935,Abril,Lunes,0.0,0.0,0.0
Sebastian Maniscalco: What's Wrong with People?,0.110506,7.0,2.0,2012-01-05,2012,Enero,Jueves,0.0,0.0,0.0
Samurai Vendetta,0.11533,6.5,2.0,1959-11-22,1959,Noviembre,Domingo,0.0,0.0,0.0
The Challenge,0.233947,0.0,0.0,1970-02-10,1970,Febrero,Martes,0.0,0.0,0.0
Newcastle,0.510191,4.7,10.0,2008-04-25,2008,Abril,Viernes,0.0,0.0,0.0
Mr. Denning Drives North,0.311483,7.3,3.0,1952-09-02,1952,Septiembre,Martes,0.0,0.0,0.0
The Cheat,0.00567,0.0,0.0,1950-01-25,1950,Enero,Miã©rcoles,0.0,0.0,0.0
Beautiful Stranger,0.114253,3.0,3.0,1954-07-13,1954,Julio,Martes,0.0,0.0,0.0
Without Lying Down: Frances Marion and the Power of Women in Hollywood,0.104882,7.0,1.0,2000-01-01,2000,Enero,Sã¡bado,0.0,0.0,0.0
"See You Tomorrow, Everyone",1.270233,5.4,4.0,2013-01-26,2013,Enero,Sã¡bado,0.0,0.0,0.0
Rebirth,0.37198,8.3,2.0,2011-08-31,2011,Agosto,Miã©rcoles,0.0,0.0,0.0
Skateland,2.150786,5.8,13.0,2010-01-25,2010,Enero,Lunes,14944.0,0.0,0.0
Stuart Little 3: Call of the Wild,4.014225,4.6,65.0,2005-07-14,2005,Julio,Jueves,0.0,0.0,0.0
Urban Explorer,1.569303,5.3,28.0,2011-09-08,2011,Septiembre,Jueves,0.0,3000000.0,0.0
The Substitute 2: School's Out,6.643263,5.1,19.0,1998-08-01,1998,Agosto,Sã¡bado,0.0,0.0,0.0
Shadow People,3.388843,5.0,44.0,2013-03-17,2013,Marzo,Domingo,0.0,0.0,0.0
Seventh Moon,7.961566,4.0,28.0,2008-09-20,2008,Septiembre,Sã¡bado,0.0,0.0,0.0
Snow Queen,4.749467,5.9,19.0,2002-01-04,2002,Enero,Viernes,0.0,0.0,0.0
Sacrifice,6.738661,5.0,18.0,2011-04-26,2011,Abril,Martes,0.0,6800000.0,0.0
The Old Maid,2.603629,7.8,7.0,1939-09-02,1939,Septiembre,Sã¡bado,0.0,0.0,0.0
Maniac Cop 3: Badge of Silence,2.18104,5.0,21.0,1993-02-01,1993,Febrero,Lunes,0.0,0.0,0.0
Step By Step,0.222951,6.0,2.0,1946-08-23,1946,Agosto,Viernes,0.0,0.0,0.0
The Get-Away,0.493968,3.2,3.0,1941-06-13,1941,Junio,Viernes,0.0,0.0,0.0
Hate Thy Neighbor,0.17341,1.7,3.0,1968-07-26,1968,Julio,Viernes,0.0,0.0,0.0
Pimp Bullies,1.05862,2.5,2.0,2011-06-30,2011,Junio,Jueves,0.0,0.0,0.0
Pink Saris,0.041178,5.0,1.0,2010-09-14,2010,Septiembre,Martes,0.0,0.0,0.0
Espacio interior,0.164352,6.0,2.0,2013-07-26,2013,Julio,Viernes,0.0,2500000.0,0.0
The Dancer,0.158252,5.3,2.0,2011-11-10,2011,Noviembre,Jueves,0.0,0.0,0.0
Witch's Night Out,0.085039,7.5,2.0,1978-10-27,1978,Octubre,Viernes,0.0,0.0,0.0
Kings Point,0.04353,5.0,1.0,2012-01-01,2012,Enero,Domingo,0.0,0.0,0.0
The Seventh Sin,1.461728,6.0,1.0,1957-06-28,1957,Junio,Viernes,0.0,0.0,0.0
The Green Hornet,0.92288,6.3,6.0,1974-03-21,1974,Marzo,Jueves,0.0,0.0,0.0
Mantle,0.141464,0.0,0.0,2005-07-13,2005,Julio,Miã©rcoles,0.0,0.0,0.0
Onibi: The Fire Within,1.035742,5.2,3.0,1997-04-19,1997,Abril,Sã¡bado,0.0,0.0,0.0
Pickup Alley,0.392625,6.0,1.0,1957-08-13,1957,Agosto,Martes,0.0,0.0,0.0
Long Day's Journey Into Night,1.046644,8.0,2.0,1987-04-12,1987,Abril,Domingo,0.0,0.0,0.0
The Golden Hawk,0.67175,0.0,0.0,1952-10-08,1952,Octubre,Miã©rcoles,0.0,0.0,0.0
Summer of the Seventeenth Doll,0.387082,6.0,2.0,1959-12-01,1959,Diciembre,Martes,0.0,0.0,0.0
Too Tough to Die: A Tribute to Johnny Ramone,0.148078,7.3,2.0,2006-04-26,2006,Abril,Miã©rcoles,0.0,0.0,0.0
The Formula,0.814013,3.2,6.0,2014-04-15,2014,Abril,Martes,0.0,0.0,0.0
Without Pity,0.448027,5.0,1.0,1948-08-04,1948,Agosto,Miã©rcoles,0.0,0.0,0.0
Where Do We Go from Here?,0.104985,3.0,2.0,1945-05-23,1945,Mayo,Miã©rcoles,0.0,0.0,0.0
The Man in Possession,0.00119,0.0,0.0,1931-07-04,1931,Julio,Sã¡bado,0.0,0.0,0.0
Submarine,0.067138,0.0,0.0,1928-08-28,1928,Agosto,Martes,0.0,0.0,0.0
Two Loves,0.385559,4.5,2.0,1961-06-21,1961,Junio,Miã©rcoles,0.0,0.0,0.0
Method to the Madness of Jerry Lewis,1.513452,7.0,1.0,2011-12-17,2011,Diciembre,Sã¡bado,0.0,0.0,0.0
The Innocents,0.034341,4.6,4.0,1987-12-23,1987,Diciembre,Miã©rcoles,0.0,0.0,0.0
The Four Feathers,0.415178,0.0,0.0,1929-06-01,1929,Junio,Sã¡bado,0.0,0.0,0.0
Lady Scarface,0.598395,6.0,1.0,1941-09-26,1941,Septiembre,Viernes,0.0,0.0,0.0
Mine Own Executioner,0.551786,7.2,3.0,1947-11-22,1947,Noviembre,Sã¡bado,0.0,0.0,0.0
The Green Years,0.475908,6.3,7.0,1963-11-29,1963,Noviembre,Viernes,0.0,0.0,0.0
The Arnelo Affair,0.467517,5.3,4.0,1947-02-13,1947,Febrero,Jueves,0.0,0.0,0.0
Looking Forward,0.572083,0.0,0.0,1933-04-28,1933,Abril,Viernes,0.0,0.0,0.0
Passion Flower,0.292069,3.0,2.0,1930-12-06,1930,Diciembre,Sã¡bado,0.0,0.0,0.0
The Beat Generation,0.318002,5.3,2.0,1959-07-03,1959,Julio,Viernes,0.0,0.0,0.0
San Quentin,0.220049,5.0,1.0,1946-12-16,1946,Diciembre,Lunes,0.0,0.0,0.0
Pretty Baby,0.065017,0.0,0.0,1950-09-16,1950,Septiembre,Sã¡bado,0.0,0.0,0.0
Made in Romania,0.14258,4.8,2.0,2010-12-28,2010,Diciembre,Martes,0.0,2000000.0,0.0
Johnny Allegro,0.084702,6.0,2.0,1949-05-26,1949,Mayo,Jueves,0.0,0.0,0.0
Walk a Crooked Mile,0.959509,5.5,2.0,1948-09-02,1948,Septiembre,Jueves,0.0,0.0,0.0
Haunting of the Innocent,1.020566,2.3,5.0,2014-02-01,2014,Febrero,Sã¡bado,0.0,0.0,0.0
The Boys,0.442789,7.0,1.0,1962-08-31,1962,Agosto,Viernes,0.0,0.0,0.0
Tender Scoundrel,1.928445,4.7,3.0,1966-12-12,1966,Diciembre,Lunes,0.0,0.0,0.0
Once Before I Die,0.176989,0.0,1.0,1966-12-01,1966,Diciembre,Jueves,0.0,0.0,0.0
Jungle Man-Eaters,0.444053,3.0,1.0,1954-06-01,1954,Junio,Martes,0.0,0.0,0.0
The Kill Hole,0.220524,4.9,4.0,2012-08-28,2012,Agosto,Martes,0.0,300000.0,0.0
Princess and the Pony,0.522892,4.7,5.0,2011-01-25,2011,Enero,Martes,0.0,17000.0,0.0
Wicked as They Come,0.522081,7.0,2.0,1956-05-22,1956,Mayo,Martes,0.0,0.0,0.0
Night Court,0.144281,8.0,1.0,1932-06-04,1932,Junio,Sã¡bado,0.0,0.0,0.0
The Littlest Angel,0.498207,8.5,2.0,2011-11-07,2011,Noviembre,Lunes,0.0,0.0,0.0
Valley of Head Hunters,0.005018,0.0,0.0,1953-07-29,1953,Julio,Miã©rcoles,0.0,0.0,0.0
Loose Ankles,0.385938,0.0,1.0,1930-02-02,1930,Febrero,Domingo,0.0,0.0,0.0
Voodoo Tiger,0.002418,0.0,0.0,1952-11-15,1952,Noviembre,Sã¡bado,0.0,0.0,0.0
Sergio,0.006632,0.0,0.0,2009-01-20,2009,Enero,Martes,0.0,0.0,0.0
One Is a Lonely Number,0.0339,6.0,2.0,1972-06-19,1972,Junio,Lunes,0.0,0.0,0.0
Somewhere Tonight,0.187489,6.0,2.0,2011-07-08,2011,Julio,Viernes,0.0,0.0,0.0
Roman Polanski: Odd Man Out,0.325527,5.0,1.0,2012-09-09,2012,Septiembre,Domingo,0.0,0.0,0.0
The Hound of the Baskervilles,1.070263,5.4,12.0,2002-12-26,2002,Diciembre,Jueves,0.0,0.0,0.0
Psych:9,1.849045,4.3,18.0,2010-05-07,2010,Mayo,Viernes,0.0,5000000.0,0.0
Her Best Move,0.98754,3.9,8.0,2007-03-31,2007,Marzo,Sã¡bado,0.0,0.0,0.0
Tarzan and the Amazons,2.164087,5.0,9.0,1945-04-29,1945,Abril,Domingo,0.0,0.0,0.0
The Bone Snatcher,6.123475,4.5,12.0,2003-12-23,2003,Diciembre,Martes,0.0,0.0,0.0
Snow Buddies,5.71765,4.9,42.0,2008-02-05,2008,Febrero,Martes,0.0,0.0,0.0
Trust Me,2.735064,5.5,27.0,2013-04-20,2013,Abril,Sã¡bado,0.0,0.0,0.0
The Haunting Hour: Don't Think About It,1.935899,5.6,22.0,2007-09-04,2007,Septiembre,Martes,0.0,3000000.0,0.0
The Time of Their Lives,1.131386,6.5,14.0,1946-08-16,1946,Agosto,Viernes,0.0,0.0,0.0
The Message,2.208448,7.2,27.0,2009-09-22,2009,Septiembre,Martes,0.0,0.0,0.0
The Gene Generation,3.601497,4.7,33.0,2007-01-01,2007,Enero,Lunes,0.0,2500000.0,0.0
The Old Maid,1.364958,4.6,6.0,1972-01-05,1972,Enero,Miã©rcoles,0.0,0.0,0.0
Spring Is Here,0.159771,0.0,0.0,1930-04-13,1930,Abril,Domingo,0.0,0.0,0.0
School For All,0.281173,5.5,5.0,2006-10-18,2006,Octubre,Miã©rcoles,0.0,0.0,0.0
The Elephant Man,0.092102,6.0,1.0,1982-01-04,1982,Enero,Lunes,0.0,0.0,0.0
No Questions Asked,0.109206,6.3,2.0,1951-06-15,1951,Junio,Viernes,0.0,0.0,0.0
Sex and Consequences,2.950323,5.3,3.0,2006-01-01,2006,Enero,Domingo,0.0,0.0,0.0
Riff-Raff,0.436278,5.3,5.0,1947-06-28,1947,Junio,Sã¡bado,0.0,0.0,0.0
On the Inside,1.407371,5.0,16.0,2011-12-31,2011,Diciembre,Sã¡bado,0.0,4000000.0,0.0
Solomon and Sheba,1.739898,5.4,8.0,1959-12-25,1959,Diciembre,Viernes,12200000.0,5000000.0,2.44
The Heavy,6.120644,4.9,20.0,2010-04-08,2010,Abril,Jueves,0.0,4500000.0,0.0
Water,7.324076,5.3,9.0,1985-01-01,1985,Enero,Martes,0.0,0.0,0.0
Ground Control,8.437586,5.6,18.0,1998-08-26,1998,Agosto,Miã©rcoles,0.0,500000.0,0.0
Guy X,0.639513,6.1,5.0,2005-06-06,2005,Junio,Lunes,0.0,0.0,0.0
Perkins' 14,1.18443,4.8,17.0,2009-01-09,2009,Enero,Viernes,0.0,0.0,0.0
Tell Them Willie Boy Is Here,1.447031,5.3,21.0,1969-10-31,1969,Octubre,Viernes,0.0,0.0,0.0
The Hunters,1.358005,3.9,14.0,2011-12-27,2011,Diciembre,Martes,0.0,0.0,0.0
The Sea Chase,0.891352,5.6,12.0,1955-06-04,1955,Junio,Sã¡bado,0.0,0.0,0.0
Incubus,1.194126,3.5,10.0,2006-06-06,2006,Junio,Martes,0.0,0.0,0.0
Kevin Hart: Seriously Funny,2.584698,7.6,45.0,2010-07-20,2010,Julio,Martes,0.0,0.0,0.0
Shark Attack 2,0.73047,4.1,18.0,2001-02-13,2001,Febrero,Martes,0.0,0.0,0.0
The Reptile,1.420766,6.0,21.0,1966-03-06,1966,Marzo,Domingo,0.0,0.0,0.0
Last of the Renegades,3.29263,6.7,28.0,1964-09-17,1964,Septiembre,Jueves,0.0,0.0,0.0
One Husband Too Many,0.164542,5.5,4.0,2010-10-04,2010,Octubre,Lunes,0.0,0.0,0.0
Scooby-Doo! Camp Scare,2.138263,7.3,23.0,2010-09-14,2010,Septiembre,Martes,0.0,0.0,0.0
Half of a Yellow Sun,1.015609,5.1,10.0,2014-03-21,2014,Marzo,Viernes,0.0,0.0,0.0
"Hey There, It's Yogi Bear",1.136583,6.6,7.0,1964-01-01,1964,Enero,Miã©rcoles,0.0,0.0,0.0
Top Sensation,0.10465,4.0,1.0,1969-03-29,1969,Marzo,Sã¡bado,0.0,0.0,0.0
The Sweet Body of Deborah,0.320186,4.7,3.0,1968-03-20,1968,Marzo,Miã©rcoles,0.0,0.0,0.0
So Sweet... So Perverse,0.158707,5.8,4.0,1969-10-31,1969,Octubre,Viernes,0.0,0.0,0.0
Men to Kiss,0.251257,3.8,3.0,2012-02-21,2012,Febrero,Martes,0.0,0.0,0.0
Lille Fridolf Blir Morfar,0.348329,5.8,2.0,1957-09-02,1957,Septiembre,Lunes,0.0,0.0,0.0
Beck 28 - Familjen,0.956873,6.3,9.0,2015-01-10,2015,Enero,Sã¡bado,0.0,0.0,0.0
The Stranger's Return,0.001747,0.0,0.0,1933-07-28,1933,Julio,Viernes,0.0,0.0,0.0
Weary River,1.16766,5.0,1.0,1929-02-10,1929,Febrero,Domingo,0.0,0.0,0.0
Koran by Heart,0.048765,6.0,1.0,2011-10-24,2011,Octubre,Lunes,0.0,0.0,0.0
The Affairs of Martha,0.007557,0.0,0.0,1942-06-21,1942,Junio,Domingo,0.0,0.0,0.0
Night and Day,1e-06,5.0,1.0,1991-08-28,1991,Agosto,Miã©rcoles,0.0,0.0,0.0
Three Night Stand,2.430634,4.7,19.0,2013-12-06,2013,Diciembre,Viernes,0.0,0.0,0.0
The Hangman,0.843987,4.4,7.0,1959-06-17,1959,Junio,Miã©rcoles,0.0,0.0,0.0
Beyond the Walls,0.005984,5.0,1.0,1984-09-27,1984,Septiembre,Jueves,0.0,0.0,0.0
Paradise for Three,0.084008,7.0,1.0,1938-06-04,1938,Junio,Sã¡bado,0.0,0.0,0.0
The Feathered Serpent,0.6921,7.8,4.0,1948-12-19,1948,Diciembre,Domingo,0.0,0.0,0.0
You're Only Young Once,0.14977,6.8,2.0,1937-12-10,1937,Diciembre,Viernes,0.0,0.0,0.0
In His Father's Shoes,0.48118,0.0,0.0,1997-06-05,1997,Junio,Jueves,0.0,0.0,0.0
Jim Norton: Please Be Offended,0.191276,7.0,4.0,2012-06-30,2012,Junio,Sã¡bado,0.0,0.0,0.0
We Were Dancing,0.058922,0.0,0.0,1942-04-30,1942,Abril,Jueves,0.0,0.0,0.0
The Secret of Dr. Kildare,1.044495,6.0,3.0,1939-11-24,1939,Noviembre,Viernes,0.0,0.0,0.0
The Sky Dragon,0.267863,8.5,2.0,1949-04-27,1949,Abril,Miã©rcoles,0.0,0.0,0.0
The Man Without a Map,0.425726,7.8,5.0,1968-06-01,1968,Junio,Sã¡bado,0.0,0.0,0.0
The Bride Goes Wild,0.107722,6.0,1.0,1948-03-03,1948,Marzo,Miã©rcoles,0.0,0.0,0.0
PT 109,1.256573,6.0,3.0,1963-06-19,1963,Junio,Miã©rcoles,0.0,0.0,0.0
Noah's Ark,5.055015,3.9,12.0,1999-05-02,1999,Mayo,Domingo,0.0,0.0,0.0
The Lookout,4.604124,5.5,34.0,2012-09-05,2012,Septiembre,Miã©rcoles,0.0,0.0,0.0
When A Stranger Calls Back,1.224878,5.2,16.0,1993-04-04,1993,Abril,Domingo,0.0,0.0,0.0
Mr. Magoo's Christmas Carol,0.972587,6.2,16.0,1962-12-18,1962,Diciembre,Martes,0.0,0.0,0.0
Ritual,2.220049,5.5,35.0,2012-04-26,2012,Abril,Jueves,0.0,200000.0,0.0
Master of the World,1.826348,6.0,19.0,1961-05-01,1961,Mayo,Lunes,0.0,0.0,0.0
