title,popularity,vote_average,vote_count,release_date,release_year,month_name,day_name,lowercase_title
Low Down,3.155747,5.0,20.0,2014-01-19,2014,Enero,Domingo,low down
"Another Day, Another Time: Celebrating the Music of ""Inside Llewyn Davis""",0.400351,9.3,3.0,2013-12-13,2013,Diciembre,Viernes,"another day, another time: celebrating the music of ""inside llewyn davis"""
Margaret,0.522679,0.0,0.0,2009-03-26,2009,Marzo,Jueves,margaret
Paper Planes,7.78915,6.0,49.0,2014-09-07,2014,Septiembre,Domingo,paper planes
DRIVE,0.335441,7.0,7.0,2002-01-01,2002,Enero,Martes,drive
Hard Luck Hero,0.494284,7.5,2.0,2003-01-01,2003,Enero,Miércoles,hard luck hero
Bunny Drop,0.978779,6.7,11.0,2011-08-20,2011,Agosto,Sábado,bunny drop
I Know You Know,2.133283,6.8,5.0,2009-02-05,2009,Febrero,Jueves,i know you know
Awaydays,1.173881,5.4,9.0,2009-04-01,2009,Abril,Miércoles,awaydays
Double Game,0.0,0.0,0.0,1977-10-13,1977,Octubre,Jueves,double game
A Long Ride from Hell,0.117699,4.0,3.0,1968-04-05,1968,Abril,Viernes,a long ride from hell
Body Fat Index of Love,0.46951,5.3,3.0,2012-12-20,2012,Diciembre,Jueves,body fat index of love
Burning Blue,4.630341,5.5,13.0,2013-06-29,2013,Junio,Sábado,burning blue
Björk: Biophilia Live,0.656176,8.1,10.0,2014-10-10,2014,Octubre,Viernes,björk: biophilia live
The Missouri Traveler,0.457395,6.0,1.0,1958-01-21,1958,Enero,Martes,the missouri traveler
Those Calloways,0.277806,7.3,3.0,1965-01-28,1965,Enero,Jueves,those calloways
The Deserter,0.625736,7.0,1.0,1970-12-04,1970,Diciembre,Viernes,the deserter
Torch Singer,0.073011,4.0,1.0,1933-09-08,1933,Septiembre,Viernes,torch singer
The Diary of Anne Frank,0.038276,0.0,1.0,1980-11-17,1980,Noviembre,Lunes,the diary of anne frank
El compadre Mendoza,0.430045,5.8,8.0,1934-04-05,1934,Abril,Jueves,el compadre mendoza
Le Grand Jeu,0.426592,8.0,3.0,1934-05-02,1934,Mayo,Miércoles,le grand jeu
Bad Seed,0.248086,3.0,2.0,1934-07-05,1934,Julio,Jueves,bad seed
Red Ensign,0.019338,0.0,0.0,1934-06-17,1934,Junio,Domingo,red ensign
Love and Distrust,1.213417,4.8,11.0,2010-08-16,2010,Agosto,Lunes,love and distrust
"Aquí llega Condemor, el pecador de la pradera",0.374,4.7,6.0,1996-06-27,1996,Junio,Jueves,"aquí llega condemor, el pecador de la pradera"
El asombroso mundo de Borjamari y Pocholo,0.793589,5.4,5.0,2004-12-03,2004,Diciembre,Viernes,el asombroso mundo de borjamari y pocholo
2012: Ice Age,7.504259,3.8,84.0,2011-06-27,2011,Junio,Lunes,2012: ice age
FBI: Frikis buscan incordiar,0.044048,2.0,1.0,2004-06-04,2004,Junio,Viernes,fbi: frikis buscan incordiar
Isi/Disi - Amor a lo bestia,1.437794,5.5,13.0,2004-07-23,2004,Julio,Viernes,isi/disi - amor a lo bestia
Red Salute,0.98586,6.0,1.0,1935-09-12,1935,Septiembre,Jueves,red salute
The Case of the Curious Bride,0.262367,5.6,4.0,1935-04-13,1935,Abril,Sábado,the case of the curious bride
The Case of the Lucky Legs,0.099705,0.0,1.0,1935-10-05,1935,Octubre,Sábado,the case of the lucky legs
La Bandera,0.175334,5.3,3.0,1935-09-25,1935,Septiembre,Miércoles,la bandera
The Beast in Heat,2.324007,4.1,15.0,1977-07-19,1977,Julio,Martes,the beast in heat
Doubting Thomas,0.047712,0.0,0.0,1935-07-10,1935,Julio,Miércoles,doubting thomas
A Blade in the Dark,4.04674,6.0,20.0,1983-08-06,1983,Agosto,Sábado,a blade in the dark
The Phantom Light,0.113557,5.8,2.0,1935-08-05,1935,Agosto,Lunes,the phantom light
Seven Alone,0.201163,6.0,1.0,1974-12-20,1974,Diciembre,Viernes,seven alone
Pretty Cool,0.253802,4.9,5.0,2005-06-21,2005,Junio,Martes,pretty cool
Ned Rifle,4.235107,5.6,16.0,2014-09-07,2014,Septiembre,Domingo,ned rifle
Time in the Minors,0.005882,0.0,0.0,2010-11-01,2010,Noviembre,Lunes,time in the minors
Stars Above,0.854413,7.3,4.0,2012-08-15,2012,Agosto,Miércoles,stars above
Not Another Happy Ending,2.917593,6.1,37.0,2013-10-11,2013,Octubre,Viernes,not another happy ending
Mortdecai,10.241861,5.4,1078.0,2015-01-21,2015,Enero,Miércoles,mortdecai
Fifty Shades of Grey,33.068431,5.2,3350.0,2015-02-11,2015,Febrero,Miércoles,fifty shades of grey
Expelled,9.323591,6.2,187.0,2014-12-12,2014,Diciembre,Viernes,expelled
Buffalo Girls,0.122409,8.0,3.0,2012-11-14,2012,Noviembre,Miércoles,buffalo girls
Gregory Go Boom,0.995302,6.3,4.0,2013-05-22,2013,Mayo,Miércoles,gregory go boom
The Periwig-Maker,0.620529,8.1,9.0,2000-01-01,2000,Enero,Sábado,the periwig-maker
Kiwi!,1.994703,6.5,41.0,2006-01-01,2006,Enero,Domingo,kiwi!
Santa's Pocket Watch,0.000263,0.0,0.0,1980-12-20,1980,Diciembre,Sábado,santa's pocket watch
Björk at the Royal Opera House,0.416801,6.8,4.0,2002-06-04,2002,Junio,Martes,björk at the royal opera house
The Fox and the Hare,1.353566,5.3,5.0,1973-01-01,1973,Enero,Lunes,the fox and the hare
Christmas Comes but Once a Year,0.109407,7.0,3.0,1936-01-01,1936,Enero,Miércoles,christmas comes but once a year
Crac,0.153663,7.5,8.0,1981-01-01,1981,Enero,Jueves,crac
Reggie Watts: Why Shit So Crazy?,0.242956,6.0,4.0,2010-07-01,2010,Julio,Jueves,reggie watts: why shit so crazy?
Syrinx,0.291638,6.0,3.0,1966-05-31,1966,Mayo,Martes,syrinx
Curb Dance,0.266119,5.0,5.0,2011-05-06,2011,Mayo,Viernes,curb dance
Desire: The Vampire,0.251427,4.0,1.0,1982-11-15,1982,Noviembre,Lunes,desire: the vampire
Manson,0.150003,5.9,5.0,1973-01-01,1973,Enero,Lunes,manson
Fright to the Finish,0.268416,7.0,2.0,1954-08-27,1954,Agosto,Viernes,fright to the finish
Guyana Tragedy: The Story of Jim Jones,0.206933,4.5,4.0,1980-04-15,1980,Abril,Martes,guyana tragedy: the story of jim jones
"I Want a Dog for Christmas, Charlie Brown",1.132124,6.9,8.0,2003-12-09,2003,Diciembre,Martes,"i want a dog for christmas, charlie brown"
Impure Thoughts,0.254241,0.0,0.0,1986-11-25,1986,Noviembre,Martes,impure thoughts
It's a Bird,0.110204,8.0,2.0,1930-01-01,1930,Enero,Miércoles,it's a bird
The Trip to Squash Land,0.254085,4.6,5.0,1967-07-22,1967,Julio,Sábado,the trip to squash land
Charlie Brown's Christmas Tales,0.716603,5.8,4.0,2002-12-08,2002,Diciembre,Domingo,charlie brown's christmas tales
Eat,0.603376,8.0,1.0,2011-03-12,2011,Marzo,Sábado,eat
Garfield's Halloween Adventure,1.636118,7.1,9.0,1985-10-30,1985,Octubre,Miércoles,garfield's halloween adventure
"It's Christmastime Again, Charlie Brown",1.425983,5.9,10.0,1992-11-27,1992,Noviembre,Viernes,"it's christmastime again, charlie brown"
Halloweentown,5.318151,6.3,97.0,1998-11-10,1998,Noviembre,Martes,halloweentown
Halloweentown II: Kalabar's Revenge,7.767959,6.3,62.0,2001-10-12,2001,Octubre,Viernes,halloweentown ii: kalabar's revenge
Halloweentown High,4.019593,5.9,67.0,2004-10-08,2004,Octubre,Viernes,halloweentown high
Nocturna Artificialia,0.211414,4.6,4.0,1979-01-01,1979,Enero,Lunes,nocturna artificialia
Santa Claus,0.878122,6.0,8.0,1898-09-01,1898,Septiembre,Jueves,santa claus
Surprise,0.001252,0.0,0.0,1996-02-21,1996,Febrero,Miércoles,surprise
Trick or Treat,0.76974,6.4,10.0,1952-10-10,1952,Octubre,Viernes,trick or treat
Vengeance: The Story of Tony Cimo,0.037644,4.8,1.0,1986-11-01,1986,Noviembre,Sábado,vengeance: the story of tony cimo
Within the Woods,1.657273,6.3,15.0,1978-11-23,1978,Noviembre,Jueves,within the woods
100 Years at the Movies,0.384209,8.0,6.0,1994-12-31,1994,Diciembre,Sábado,100 years at the movies
Apple Jack,0.020588,0.0,0.0,2003-09-16,2003,Septiembre,Martes,apple jack
The Butter Battle Book,0.036572,4.8,3.0,1989-11-13,1989,Noviembre,Lunes,the butter battle book
Corn on the Cop,0.328171,5.3,3.0,1965-07-23,1965,Julio,Viernes,corn on the cop
The Black Imp,0.472362,7.0,14.0,1905-01-01,1905,Enero,Domingo,the black imp
Halloween is Grinch Night,0.690099,6.6,6.0,1977-10-29,1977,Octubre,Sábado,halloween is grinch night
Marilyn in Manhattan,0.384717,6.5,1.0,1998-09-05,1998,Septiembre,Sábado,marilyn in manhattan
Rage of Angels,0.978305,4.5,1.0,1983-02-19,1983,Febrero,Sábado,rage of angels
Rage of Angels: The Story Continues,0.567895,0.0,0.0,1986-11-02,1986,Noviembre,Domingo,rage of angels: the story continues
Rudolph the Red-Nosed Reindeer,0.319215,6.8,7.0,1948-01-01,1948,Enero,Jueves,rudolph the red-nosed reindeer
Signs,1.11608,7.4,28.0,2008-03-10,2008,Marzo,Lunes,signs
The Fat Albert Halloween Special,0.052886,6.0,1.0,1977-10-24,1977,Octubre,Lunes,the fat albert halloween special
Season's Greetings,0.822097,6.1,7.0,1996-10-31,1996,Octubre,Jueves,season's greetings
The Dot and the Line: A Romance in Lower Mathematics,0.923465,7.4,11.0,1965-12-31,1965,Diciembre,Viernes,the dot and the line: a romance in lower mathematics
Nantucket Film Festival's Comedy Roundtable,0.776445,7.3,4.0,2012-09-27,2012,Septiembre,Jueves,nantucket film festival's comedy roundtable
Rubber Johnny,1.707514,7.7,23.0,2005-06-20,2005,Junio,Lunes,rubber johnny
Act da Fool,0.306907,6.3,8.0,2010-09-02,2010,Septiembre,Jueves,act da fool
En rachâchant,0.002317,6.0,3.0,1982-01-01,1982,Enero,Viernes,en rachâchant
A Flower,0.480355,4.8,4.0,1971-01-01,1971,Enero,Viernes,a flower
Boo to You Too! Winnie the Pooh,0.121415,6.8,3.0,1996-01-01,1996,Enero,Lunes,boo to you too! winnie the pooh
Sleeping Betty,0.219727,7.0,3.0,2007-01-01,2007,Enero,Lunes,sleeping betty
Betty Boop's Hallowe'en Party,0.151893,6.7,3.0,1933-11-03,1933,Noviembre,Viernes,betty boop's hallowe'en party
Halloween,0.150626,6.0,1.0,1931-05-01,1931,Mayo,Viernes,halloween
Barbie: A Fashion Fairytale,4.287613,6.4,70.0,2010-09-14,2010,Septiembre,Martes,barbie: a fashion fairytale
The Halloween That Almost Wasn't,0.903872,6.0,1.0,1979-10-28,1979,Octubre,Domingo,the halloween that almost wasn't
The Mystery of the Leaping Fish,0.436214,6.5,4.0,1916-06-11,1916,Junio,Domingo,the mystery of the leaping fish
The 3 Rs,1.557542,5.8,13.0,2011-09-21,2011,Septiembre,Miércoles,the 3 rs
Brutal Relax,0.941319,6.6,10.0,2010-01-01,2010,Enero,Viernes,brutal relax
Franz Kafka's a Country Doctor,1.705657,7.6,14.0,2007-11-17,2007,Noviembre,Sábado,franz kafka's a country doctor
Pluto's Christmas Tree,1.163695,7.0,13.0,1952-11-21,1952,Noviembre,Viernes,pluto's christmas tree
Stille Nacht I,0.000308,5.4,7.0,1988-01-01,1988,Enero,Viernes,stille nacht i
Holiday for Drumsticks,0.003424,0.0,0.0,1949-01-22,1949,Enero,Sábado,holiday for drumsticks
The Horseplayer,0.0,0.0,0.0,1990-01-01,1990,Enero,Lunes,the horseplayer
Coven,0.435088,6.3,4.0,2000-03-31,2000,Marzo,Viernes,coven
Rehearsals for Extinct Anatomies,0.952685,6.3,3.0,1987-01-01,1987,Enero,Jueves,rehearsals for extinct anatomies
Suur Tõll,0.07533,9.0,2.0,1980-01-01,1980,Enero,Martes,suur tõll
We Can Be Heroes,0.14353,7.8,4.0,2005-07-27,2005,Julio,Miércoles,we can be heroes
Bob's Birthday,0.178989,6.6,5.0,1994-01-01,1994,Enero,Sábado,bob's birthday
Broom-Stick Bunny,0.424586,7.4,8.0,1956-02-25,1956,Febrero,Sábado,broom-stick bunny
Chainsaw Maid,0.355582,5.6,5.0,2007-12-08,2007,Diciembre,Sábado,chainsaw maid
The Little Matchgirl,3.529071,7.3,33.0,2006-09-07,2006,Septiembre,Jueves,the little matchgirl
The Haunted House,0.612755,6.6,9.0,1929-12-02,1929,Diciembre,Lunes,the haunted house
How They Get There,0.730682,7.0,7.0,1997-01-01,1997,Enero,Miércoles,how they get there
Istanbul,0.00586,0.0,0.0,1985-01-30,1985,Enero,Miércoles,istanbul
"Hen, His Wife",0.003013,7.5,2.0,1990-05-01,1990,Mayo,Martes,"hen, his wife"
Inside The X-Files,0.601097,6.0,1.0,1998-02-01,1998,Febrero,Domingo,inside the x-files
The Horribly Slow Murderer with the Extremely Inefficient Weapon,1.860321,6.6,36.0,2008-01-01,2008,Enero,Martes,the horribly slow murderer with the extremely inefficient weapon
Norm MacDonald: Me Doing Standup,0.298558,7.2,7.0,2011-03-01,2011,Marzo,Martes,norm macdonald: me doing standup
A Flintstones Christmas Carol,0.872875,5.3,14.0,1994-11-24,1994,Noviembre,Jueves,a flintstones christmas carol
Hedgehog in the Fog,2.643565,7.4,44.0,1975-10-23,1975,Octubre,Jueves,hedgehog in the fog
The Cat's Out,0.092377,7.0,2.0,1931-07-28,1931,Julio,Martes,the cat's out
Claymation Comedy of Horrors,0.007319,10.0,1.0,1991-05-29,1991,Mayo,Miércoles,claymation comedy of horrors
The Last Farm,0.385759,7.6,7.0,2004-08-21,2004,Agosto,Sábado,the last farm
Snowballs,0.502533,6.0,7.0,2011-09-26,2011,Septiembre,Lunes,snowballs
"Danger! 50,000 Zombies",0.20207,8.0,2.0,2004-01-01,2004,Enero,Jueves,"danger! 50,000 zombies"
Bouncing Babies,0.006143,0.0,0.0,1929-10-11,1929,Octubre,Viernes,bouncing babies
Stella: Live in Boston,0.050486,5.0,1.0,2009-08-13,2009,Agosto,Jueves,stella: live in boston
Diario de un skin,0.369894,6.7,7.0,2005-06-13,2005,Junio,Lunes,diario de un skin
The Black Cat,0.935686,6.4,5.0,1941-05-02,1941,Mayo,Viernes,the black cat
All About Anna,6.614301,2.5,42.0,2005-11-24,2005,Noviembre,Jueves,all about anna
Let's Get Those English Girls,0.261408,5.8,4.0,1976-01-07,1976,Enero,Miércoles,let's get those english girls
Archie To Riverdale and Back Again,0.045173,5.5,1.0,1990-05-06,1990,Mayo,Domingo,archie to riverdale and back again
Babette Goes to War,0.339142,6.0,1.0,1959-09-18,1959,Septiembre,Viernes,babette goes to war
Darling Trap,1.988425,4.8,23.0,2014-01-22,2014,Enero,Miércoles,darling trap
Special Delivery,0.013177,0.0,0.0,2002-12-11,2002,Diciembre,Miércoles,special delivery
Mr. Average,0.415034,7.5,3.0,2006-06-21,2006,Junio,Miércoles,mr. average
Cutie Honey,1.131061,5.8,14.0,2004-05-29,2004,Mayo,Sábado,cutie honey
"Delphine 1, Yvan 0",0.349689,6.0,6.0,1996-06-19,1996,Junio,Miércoles,"delphine 1, yvan 0"
Doomsday Prophecy,2.436725,4.0,30.0,2011-08-13,2011,Agosto,Sábado,doomsday prophecy
Love Can Seriously Damage Your Health,0.347937,5.8,9.0,1997-01-10,1997,Enero,Viernes,love can seriously damage your health
The Cave of the Golden Rose,1.929422,6.0,33.0,1991-12-22,1991,Diciembre,Domingo,the cave of the golden rose
Human Touch,0.002694,0.0,0.0,2005-04-14,2005,Abril,Jueves,human touch
King Kelly,1.629079,4.3,5.0,2012-11-11,2012,Noviembre,Domingo,king kelly
La Bande du drugstore,0.542408,6.3,2.0,2002-04-17,2002,Abril,Miércoles,la bande du drugstore
The Slap,1.10577,5.2,13.0,1974-10-23,1974,Octubre,Miércoles,the slap
Lahore,0.016925,0.0,0.0,2010-03-19,2010,Marzo,Viernes,lahore
The King's Whore,0.551122,4.6,6.0,1990-11-14,1990,Noviembre,Miércoles,the king's whore
Latitudes,0.993994,5.4,4.0,2014-02-28,2014,Febrero,Viernes,latitudes
Frenchmen 2,1.440118,6.1,24.0,2007-10-24,2007,Octubre,Miércoles,frenchmen 2
The Last Diamond,1.732667,6.3,26.0,2014-04-30,2014,Abril,Miércoles,the last diamond
"Le printemps, l'automne et l'amour",0.001754,0.0,0.0,1955-04-12,1955,Abril,Martes,"le printemps, l'automne et l'amour"
1001 Nights,1.22292,4.9,7.0,1990-04-11,1990,Abril,Miércoles,1001 nights
Lightspeed,1.028416,1.4,4.0,2006-07-22,2006,Julio,Sábado,lightspeed
Meilleur espoir féminin,0.64678,6.7,10.0,2000-05-31,2000,Mayo,Miércoles,meilleur espoir féminin
"Mercredi, folle journée !",0.10645,6.5,2.0,2001-03-28,2001,Marzo,Miércoles,"mercredi, folle journée !"
Mr Reliable,0.39183,6.5,2.0,1996-11-22,1996,Noviembre,Viernes,mr reliable
Ninette,0.472872,8.0,2.0,2005-08-12,2005,Agosto,Viernes,ninette
Nom de code : Rose,0.515027,4.9,6.0,2012-12-04,2012,Diciembre,Martes,nom de code : rose
Opposite Day,1.389182,3.2,9.0,2009-11-07,2009,Noviembre,Sábado,opposite day
Powder Room,3.056024,5.3,9.0,2013-11-29,2013,Noviembre,Viernes,powder room
Shirin in Love,0.48418,4.0,1.0,2014-03-14,2014,Marzo,Viernes,shirin in love
The Christmas Wish,0.231911,3.1,4.0,1998-12-06,1998,Diciembre,Domingo,the christmas wish
The Sex and Violence Family Hour,1.44119,0.0,0.0,1983-01-01,1983,Enero,Sábado,the sex and violence family hour
All That... for This?!,0.593933,6.3,5.0,1993-01-01,1993,Enero,Viernes,all that... for this?!
Who Do I Gotta Kill?,0.444714,3.7,3.0,1994-07-07,1994,Julio,Jueves,who do i gotta kill?
Marihuana,0.696968,2.5,4.0,1936-05-08,1936,Mayo,Viernes,marihuana
"So Sweet, So Dead",0.801926,7.0,5.0,1972-07-18,1972,Julio,Martes,"so sweet, so dead"
Chronicle of a Homicide,1.150055,0.0,0.0,1972-02-04,1972,Febrero,Viernes,chronicle of a homicide
The Shadow Men,0.480637,3.6,4.0,1997-09-24,1997,Septiembre,Miércoles,the shadow men
Seventh Heaven,0.070218,2.0,1.0,1993-03-01,1993,Marzo,Lunes,seventh heaven
They Were Five,0.34768,7.1,6.0,1936-09-01,1936,Septiembre,Martes,they were five
Stop Train 349,0.016498,0.0,0.0,1963-06-26,1963,Junio,Miércoles,stop train 349
Ferryman Maria,0.03852,7.0,1.0,1936-01-07,1936,Enero,Martes,ferryman maria
"Thank You, Jeeves!",0.009626,0.0,0.0,1936-06-30,1936,Junio,Martes,"thank you, jeeves!"
Homework,0.052377,5.0,1.0,1989-01-01,1989,Enero,Domingo,homework
Internes Can't Take Money,0.118748,7.0,2.0,1937-04-16,1937,Abril,Viernes,internes can't take money
Green Light,0.433975,6.0,1.0,1937-02-20,1937,Febrero,Sábado,green light
Black Belly of the Tarantula,4.726173,6.1,18.0,1971-08-12,1971,Agosto,Jueves,black belly of the tarantula
Maid of Salem,0.287532,3.3,2.0,1937-02-12,1937,Febrero,Viernes,maid of salem
Double Or Nothing,0.06509,8.0,1.0,1937-09-17,1937,Septiembre,Viernes,double or nothing
Second Honeymoon,0.464414,6.7,3.0,1937-11-13,1937,Noviembre,Sábado,second honeymoon
I Met Him in Paris,0.730017,5.5,2.0,1937-05-28,1937,Mayo,Viernes,i met him in paris
Dance Program,0.164692,7.3,3.0,1937-09-09,1937,Septiembre,Jueves,dance program
Boys' School,0.844862,7.4,6.0,1938-04-05,1938,Abril,Martes,boys' school
Vessel of Wrath,0.657391,10.0,1.0,1938-03-04,1938,Marzo,Viernes,vessel of wrath
Idiot's Delight,0.155988,4.0,4.0,1939-01-27,1939,Enero,Viernes,idiot's delight
Invitation to Happiness,0.005404,0.0,0.0,1939-06-07,1939,Junio,Miércoles,invitation to happiness
Subliminal Seduction,1.013575,4.0,3.0,1996-01-01,1996,Enero,Lunes,subliminal seduction
Virtual Combat,0.326423,7.3,3.0,1995-07-11,1995,Julio,Martes,virtual combat
The Skateboard Kid II,1.198688,4.0,2.0,1995-01-01,1995,Enero,Domingo,the skateboard kid ii
The Terror Within II,0.745915,2.5,2.0,1991-01-18,1991,Enero,Viernes,the terror within ii
Beyond the Fear,0.048432,0.0,0.0,2014-12-02,2014,Diciembre,Martes,beyond the fear
Modris,0.056398,5.0,1.0,2014-10-24,2014,Octubre,Viernes,modris
Deliverance Creek,1.08147,6.3,3.0,2014-09-13,2014,Septiembre,Sábado,deliverance creek
Wolves,11.481479,5.7,82.0,2014-08-28,2014,Agosto,Jueves,wolves
The Woodcarver,0.008772,0.0,0.0,2012-03-05,2012,Marzo,Lunes,the woodcarver
The Encounter,0.812442,4.7,15.0,2010-05-03,2010,Mayo,Lunes,the encounter
Big Sur,2.76283,4.8,6.0,2013-11-01,2013,Noviembre,Viernes,big sur
The Unexpected Love,2.270692,6.3,22.0,2014-04-25,2014,Abril,Viernes,the unexpected love
Apostle Peter and the Last Supper,0.843333,6.2,7.0,2012-02-20,2012,Febrero,Lunes,apostle peter and the last supper
The Adventures of André and Wally B.,3.466912,5.4,60.0,1984-12-17,1984,Diciembre,Lunes,the adventures of andré and wally b.
Face of Terror,0.37175,4.0,2.0,2004-02-28,2004,Febrero,Sábado,face of terror
The Harmony Game,0.100029,8.0,1.0,2011-02-11,2011,Febrero,Viernes,the harmony game
Kamikaze,1.22002,6.5,15.0,2014-03-28,2014,Marzo,Viernes,kamikaze
Planet Ocean,2.37287,7.1,22.0,2012-06-18,2012,Junio,Lunes,planet ocean
Stalag Luft,0.180615,7.0,2.0,1993-10-27,1993,Octubre,Miércoles,stalag luft
We'll Never Have Paris,3.854754,4.8,38.0,2014-10-01,2014,Octubre,Miércoles,we'll never have paris
American Heist,6.278168,4.3,160.0,2014-09-11,2014,Septiembre,Jueves,american heist
The Good Son,0.219061,3.5,2.0,2011-03-25,2011,Marzo,Viernes,the good son
Miraculum,0.82134,5.3,11.0,2014-02-28,2014,Febrero,Viernes,miraculum
Solyaris,0.250398,8.0,1.0,1968-10-08,1968,Octubre,Martes,solyaris
Mother Earth,0.002366,0.0,0.0,1968-07-10,1968,Julio,Miércoles,mother earth
The Pacific,6.092242,7.9,318.0,2010-03-15,2010,Marzo,Lunes,the pacific
A Visitor to a Museum,0.658363,7.6,8.0,1989-03-14,1989,Marzo,Martes,a visitor to a museum
The Hyperboloid of Engineer Garin,1.537332,4.0,6.0,1965-01-01,1965,Enero,Viernes,the hyperboloid of engineer garin
Cosmic Journey,0.199107,5.8,4.0,1936-01-21,1936,Enero,Martes,cosmic journey
Two: The Story of Roman & Nyro,0.027037,0.0,0.0,2013-09-28,2013,Septiembre,Sábado,two: the story of roman & nyro
Strange Magic,10.192407,6.2,105.0,2015-01-23,2015,Enero,Viernes,strange magic
Paris-Manhattan,4.200272,5.3,67.0,2012-07-16,2012,Julio,Lunes,paris-manhattan
The Flying Machine,0.529945,5.4,7.0,2011-02-12,2011,Febrero,Sábado,the flying machine
7 Days in Havana,5.367997,5.4,23.0,2012-04-05,2012,Abril,Jueves,7 days in havana
The DUFF,8.592449,6.8,1372.0,2015-02-20,2015,Febrero,Viernes,the duff
Tower Block,3.611777,5.7,50.0,2012-09-19,2012,Septiembre,Miércoles,tower block
Fort McCoy,0.711099,6.3,2.0,2014-01-01,2014,Enero,Miércoles,fort mccoy
Age of Ice,1.725587,2.8,15.0,2014-12-09,2014,Diciembre,Martes,age of ice
The Girl with a Pistol,1.740951,5.4,9.0,1968-08-22,1968,Agosto,Jueves,the girl with a pistol
Love Steaks,1.932176,5.6,19.0,2013-06-29,2013,Junio,Sábado,love steaks
The Remaining,14.788837,4.1,91.0,2014-08-25,2014,Agosto,Lunes,the remaining
Prairie Love,0.042355,5.0,1.0,2011-01-01,2011,Enero,Sábado,prairie love
Heathcliff: The Movie,0.000308,7.0,1.0,1986-01-17,1986,Enero,Viernes,heathcliff: the movie
Everly,13.145621,5.2,231.0,2015-01-23,2015,Enero,Viernes,everly
"Daddy, I'm A Zombie",1.885686,5.3,5.0,2012-01-10,2012,Enero,Martes,"daddy, i'm a zombie"
Zodiac,3.29973,3.8,32.0,2014-08-16,2014,Agosto,Sábado,zodiac
Camarón: When Flamenco Became Legend,0.713381,6.6,9.0,2005-11-04,2005,Noviembre,Viernes,camarón: when flamenco became legend
Outrage Beyond,3.433531,7.1,54.0,2012-09-03,2012,Septiembre,Lunes,outrage beyond
The Mark of Cain,0.144446,7.3,2.0,2000-01-01,2000,Enero,Sábado,the mark of cain
From Zero to Hero,0.159785,6.0,1.0,2014-04-09,2014,Abril,Miércoles,from zero to hero
The Humanoid,0.205534,5.0,1.0,1979-04-11,1979,Abril,Miércoles,the humanoid
Kocken,0.747848,5.5,3.0,2005-02-25,2005,Febrero,Viernes,kocken
Vanishing Waves,1.894596,5.5,23.0,2012-06-29,2012,Junio,Viernes,vanishing waves
The Little Drummer Girl,1.122905,5.3,8.0,1984-10-19,1984,Octubre,Viernes,the little drummer girl
The Little Death,5.593682,6.5,167.0,2014-06-13,2014,Junio,Viernes,the little death
Pinocchio,0.272995,6.7,6.0,2012-10-05,2012,Octubre,Viernes,pinocchio
Kenny Begins,1.278297,5.8,4.0,2009-03-25,2009,Marzo,Miércoles,kenny begins
Sandor slash Ida,0.317766,3.5,2.0,2005-02-04,2005,Febrero,Viernes,sandor slash ida
Bit by Bit,0.244149,5.0,3.0,2002-09-27,2002,Septiembre,Viernes,bit by bit
Help! I'm A Fish,10.197545,6.3,73.0,2000-10-06,2000,Octubre,Viernes,help! i'm a fish
Tsatsiki,1.177552,5.2,8.0,1999-10-01,1999,Octubre,Viernes,tsatsiki
Dark Dungeons,0.055526,1.0,1.0,2014-08-15,2014,Agosto,Viernes,dark dungeons
Bert: The Last Virgin,0.880511,3.3,7.0,1995-12-25,1995,Diciembre,Lunes,bert: the last virgin
One in a Million,0.161001,4.5,2.0,1995-08-25,1995,Agosto,Viernes,one in a million
Sunes sommar,0.943978,5.9,17.0,1993-12-25,1993,Diciembre,Sábado,sunes sommar
Lotta Leaves Home,0.593493,5.8,5.0,1993-09-18,1993,Septiembre,Sábado,lotta leaves home
Lotta on Rascal Street,0.877781,5.5,6.0,1992-07-07,1992,Julio,Martes,lotta on rascal street
Babar The Movie,0.94982,5.6,9.0,1989-07-28,1989,Julio,Viernes,babar the movie
Karlsson on the Roof,1.128245,5.3,10.0,1974-12-07,1974,Diciembre,Sábado,karlsson on the roof
The Girls,0.261022,6.5,4.0,1968-09-16,1968,Septiembre,Lunes,the girls
¡Mátalo!,0.458827,6.5,2.0,1970-10-22,1970,Octubre,Jueves,¡mátalo!
"Io, Emmanuelle",0.563726,0.0,0.0,1969-09-11,1969,Septiembre,Jueves,"io, emmanuelle"
The Case of the Bloody Iris,1.737506,6.3,12.0,1972-08-04,1972,Agosto,Viernes,the case of the bloody iris
Darker Than Night,1.028514,4.0,18.0,2014-09-05,2014,Septiembre,Viernes,darker than night
Uprise,0.080879,5.0,1.0,2008-04-30,2008,Abril,Miércoles,uprise
Story of My Death,0.303212,8.2,8.0,2013-10-23,2013,Octubre,Miércoles,story of my death
The Blue Room,2.490899,6.2,32.0,2014-05-16,2014,Mayo,Viernes,the blue room
Vic+Flo Saw a Bear,1.100663,6.5,6.0,2013-09-04,2013,Septiembre,Miércoles,vic+flo saw a bear
Grandmother,0.723687,7.0,4.0,2009-09-23,2009,Septiembre,Miércoles,grandmother
Our Sunhi,1.494937,7.1,12.0,2013-08-10,2013,Agosto,Sábado,our sunhi
Two Years at Sea,0.580902,6.0,8.0,2011-09-10,2011,Septiembre,Sábado,two years at sea
